emp_no,first_name,last_name,title,from_date,to_date
291755,Ebru,Doering,Assistant Engineer,1994-08-27,1995-08-27
408019,Shridhar,Chleq,Assistant Engineer,1986-03-22,1987-03-22
415187,Juyoung,Peltason,Assistant Engineer,1998-09-01,1999-09-01
17731,Gennady,Roison,Assistant Engineer,1989-12-06,1990-12-06
461723,Deborah,Basawa,Assistant Engineer,1991-04-30,1992-04-29
292515,Bernd,Thummel,Assistant Engineer,1989-08-03,1990-08-03
415338,Shigeo,Emmart,Assistant Engineer,1995-12-24,1996-12-23
489928,Satoru,Janetzko,Assistant Engineer,1997-07-26,1998-07-26
264030,Zdislav,Solares,Assistant Engineer,1990-12-14,1991-12-14
478170,Doowon,Schoegge,Assistant Engineer,1994-05-29,1995-05-29
242081,Tomokazu,Pargas,Assistant Engineer,1996-11-15,1997-11-15
56682,Roded,Picco,Assistant Engineer,1993-11-06,1994-11-06
21181,Jianhui,Cangellaris,Assistant Engineer,1991-10-06,1992-10-05
481397,Luisa,Chelton,Assistant Engineer,1998-08-13,1999-08-13
272860,Minghong,Candan,Assistant Engineer,1994-02-10,1995-02-10
433260,Make,Olivero,Assistant Engineer,1991-06-01,1992-05-31
253838,Stafford,Terlouw,Assistant Engineer,1999-02-21,2000-02-21
90116,Brigham,Luiz,Assistant Engineer,1990-04-10,1991-04-10
16528,Gaurav,Swick,Assistant Engineer,1996-05-07,1997-05-07
482885,Shaunak,Brizzi,Assistant Engineer,1988-09-02,1989-09-02
294791,Vesna,Lammel,Assistant Engineer,1999-10-08,2000-10-07
51868,Remmert,Munke,Assistant Engineer,1991-09-22,1992-09-21
248953,Percy,Sudbeck,Assistant Engineer,1996-08-29,1997-08-29
92577,Zhanqiu,Farrow,Assistant Engineer,1999-01-10,2000-01-10
483838,Sham,Kavanagh,Assistant Engineer,1997-12-18,1998-12-18
295262,Moon,Pews,Assistant Engineer,1994-08-06,1995-08-06
485489,Keiichiro,Armand,Assistant Engineer,1986-12-14,1987-12-14
46531,Yaghout,Peng,Assistant Engineer,1995-10-02,1996-10-01
