emp_no,first_name,last_name,title,from_date,salary
35618,Arie,Auyong,Assistant Engineer,1988-05-13,48723
235659,Hideyuki,Lanzelotte,Assistant Engineer,1999-12-20,51011
40244,Saniya,Janetzko,Assistant Engineer,1987-09-21,55994
494242,Jinpo,Vesel,Assistant Engineer,1988-01-19,54094
221801,Kristinn,Rahimi,Assistant Engineer,1985-08-12,56232
28552,Gonzalo,Sevcikova,Assistant Engineer,1993-07-21,40000
48376,Sreenivas,Wixon,Assistant Engineer,1985-06-25,50410
72646,Elgin,Tchuente,Assistant Engineer,1988-02-20,50608
48726,Amstein,Isaac,Assistant Engineer,1987-08-02,40154
99473,Jaihie,Servi,Assistant Engineer,1996-03-06,63089
65358,Kshitij,Cooley,Assistant Engineer,1998-11-10,40000
80092,Yucel,Wilharm,Assistant Engineer,1988-10-07,76550
21548,Maren,Gimbel,Assistant Engineer,1988-04-09,49951
91246,Xiaoshan,Makrucki,Assistant Engineer,1987-06-17,46361
267287,Samphel,Swen,Assistant Engineer,1987-06-27,53747
202375,Marke,Garnick,Assistant Engineer,1993-07-19,45256
17487,Gully,Staudhammer,Assistant Engineer,1990-07-31,40000
224260,Bedir,Bratten,Assistant Engineer,1994-05-27,52528
221850,Mitsuyuki,Ritzmann,Assistant Engineer,1993-03-25,40000
94987,Kazuhira,Berendt,Assistant Engineer,1994-11-20,40793
15714,Troy,Bala,Assistant Engineer,1995-03-09,40000
99567,Christfried,Oberman,Assistant Engineer,1996-06-01,69068
85377,Ishfaq,Vecchio,Assistant Engineer,1986-04-25,50952
107625,Quingbo,Schwabacher,Assistant Engineer,1998-09-09,40000
88796,Mang,Erol,Assistant Engineer,1997-05-03,40000
459531,Gian,Kawashimo,Assistant Engineer,1987-09-06,40594
288144,Youngkon,Pehl,Assistant Engineer,1994-01-17,40000
21725,Hyuncheol,Calkin,Assistant Engineer,1998-12-16,47368
493519,Sadegh,Papsdorf,Assistant Engineer,1994-10-26,40000
85295,Zvonko,Kroon,Assistant Engineer,1987-09-15,40000
13560,Sibyl,Jeong,Assistant Engineer,1986-07-28,40000
88835,Gad,Nivat,Assistant Engineer,1988-03-10,49033
205266,Volkmar,Marquardt,Assistant Engineer,1987-10-04,46466
213670,Fei,Dolinsky,Assistant Engineer,1997-04-26,40000
21704,Xiaobin,Chorvat,Assistant Engineer,1991-03-14,40000
94900,Atilio,Zyda,Assistant Engineer,1996-04-09,40000
12662,Leucio,Alvarado,Assistant Engineer,1985-08-27,69016
35226,Byong,Felcyn,Assistant Engineer,1985-02-21,53616
39587,Irena,Hoppenstand,Assistant Engineer,1985-12-22,41509
287717,Inderjeet,Mullainathan,Assistant Engineer,1991-09-18,52980
493453,Fai,Waleschkowski,Assistant Engineer,1992-07-19,52220
241668,Bouchung,Eldridge,Assistant Engineer,1987-03-12,40000
210217,Subbu,Shigei,Assistant Engineer,1987-04-14,41337
202281,Serif,Ramras,Assistant Engineer,1988-06-12,40000
10009,Sumant,Peac,Assistant Engineer,1985-02-18,60929
80259,Haldon,Siprelle,Assistant Engineer,1993-02-27,49124
408938,Along,Klerer,Assistant Engineer,1985-12-29,40000
493389,Sandeepan,Feinberg,Assistant Engineer,1987-04-12,50451
100023,Boutros,Emiris,Assistant Engineer,1988-07-13,43162
35123,Yechezkel,Schaaf,Assistant Engineer,1994-07-12,57984
80268,Shietung,Vitiello,Assistant Engineer,1986-10-12,44029
260551,Alper,Murtha,Assistant Engineer,1988-04-04,40000
458690,Yagil,Osgood,Assistant Engineer,1998-03-09,40000
417828,Marjo,Besancenot,Assistant Engineer,1998-08-13,40000
31128,Serif,Frolund,Assistant Engineer,1996-02-21,67108
59488,Saeko,Montresor,Assistant Engineer,1986-01-19,48499
260529,Nechama,Hofstetter,Assistant Engineer,1987-11-09,40000
35059,Vitaly,Flasterstein,Assistant Engineer,1991-12-06,52725
417751,Saddek,Perelgut,Assistant Engineer,1988-06-21,40000
267271,Limsoon,Besselaar,Assistant Engineer,1988-04-07,48045
100112,Akemi,Naumovich,Assistant Engineer,1994-06-30,76575
287608,Eberhardt,Picco,Assistant Engineer,2000-01-17,40000
